Name:             Description:
kyukaidk          "Kyuukai Douchuuki (Japan, new version (Rev B))"
kyukaidko         "Kyuukai Douchuuki (Japan, old version)"
kyustrkr          "Last Striker / Kyuukyoku no Striker"
l7a1045_custom    "L7A1045 L6028 DSP-A"
labyrunr          "Labyrinth Runner (Japan)"
labyrunrk         "Labyrinth Runner (World Ver. K)"
lacrazyc          "Let's Attack Crazy Cross (GV027 Asia 1.10)"
ladybgb2          "Lady Bug (bootleg set 2)"
ladybug           "Lady Bug"
ladybugb          "Lady Bug (bootleg set 1)"
ladybugg          "Lady Bug (bootleg on Galaxian hardware)"
ladyfrog          "Lady Frog"
ladygolf          "Vs. Stroke & Match Golf (Ladies Version, set LG4 ?)"
ladygolfe         "Vs. Stroke & Match Golf (Ladies Version, set LG4 E)"
ladykill          "Lady Killer"
ladylinr          "Lady Liner"
ladymstr          "Lady Master of Kung Fu (set 1, newer)"
lagirl            "LA Girl"
landbrk           "Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.02)"
landbrka          "Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.03) (AT89c52 protected)"
landgear          "Landing Gear (Ver 4.2 O)"
landgeara         "Landing Gear (Ver 3.1 O)"
landgearj         "Landing Gear (Ver 4.2 J)"
landgearja        "Landing Gear (Ver 3.0 J)"
landmakr          "Land Maker (Ver 2.02O 1998/06/02)"
landmakrp         "Land Maker (Ver 2.02O 1998/06/02, prototype)"
lans2004          "Lansquenet 2004 (Shock Troopers - 2nd Squad bootleg)"
laserbas          "Laser Base (set 1)"
laserbasa         "Laser Base (set 2)"
laserbat          "Laser Battle"
lasso             "Lasso"
lasstixx          "Laser Strixx 2"
lastbank          "Last Bank (v1.16)"
lastblad          "The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340)"
lastbladh         "The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGH-2340)"
lastbld2          "The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430 ~ NGH-2430)"
lastday           "The Last Day (set 1)"
lastdaya          "The Last Day (set 2)"
lastduel          "Last Duel (US New Ver.)"
lastduelb         "Last Duel (bootleg)"
lastduelj         "Last Duel (Japan)"
lastduelo         "Last Duel (US Old Ver.)"
lastfort          "Last Fortress - Toride (Japan)"
lastforte         "Last Fortress - Toride (China, Rev C)"
lastfortea        "Last Fortress - Toride (China, Rev A)"
lastfortg         "Last Fortress - Toride (Germany)"
lastfortk         "Last Fortress - Toride (Korea)"
lastfour          "Last Four (09:12 16/01/2001)"
lasthope          "Last Hope (bootleg AES to MVS conversion, no coin support)"
lastmisn          "Last Mission (World revision 8)"
lastmisnj         "Last Mission (Japan)"
lastmisno         "Last Mission (US revision 5)"
lastsold          "The Last Soldier (Korean release of The Last Blade)"
laststar          "The Last Starfighter (prototype)"
lastsurv          "Last Survivor (Japan) (FD1094 317-0083)"
lastsurvd         "Last Survivor (Japan) (bootleg of FD1094 317-0083 set)"
latch8            "8-bit latch"
lazarian          "Lazarian"
lazercmd          "Lazer Command"
lbgrande          "Libero Grande (World, LG2/VER.A)"
lbowling          "League Bowling (NGM-019 ~ NGH-019)"
ldp1450           "Sony LDP-1450"
ldrun             "Lode Runner (set 1)"
ldrun2            "Lode Runner II - The Bungeling Strikes Back"
ldrun3            "Lode Runner III - The Golden Labyrinth"
ldrun3j           "Lode Runner III - Majin No Fukkatsu (Japan)"
ldrun4            "Lode Runner IV - Teikoku Karano Dasshutsu (Japan)"
ldruna            "Lode Runner (set 2)"
ldv1000           "Pioneer LD-V1000"
le2               "Lethal Enforcers II: Gun Fighters (ver EAA)"
le2j              "Lethal Enforcers II: The Western (ver JAA)"
le2u              "Lethal Enforcers II: Gun Fighters (ver UAA)"
leadang           "Lead Angle (Japan)"
leader            "Leader (version Z 2E, Greece)"
leaguemn          "Yakyuu Kakutou League-Man (Japan)"
leds2011          "Led Storm Rally 2011 (World)"
leds2011u         "Led Storm Rally 2011 (US)"
ledstorm          "Led Storm (US)"
legend            "Legend"
legendb           "Legion (bootleg of Legend)"
legendoh          "Legend of Heroes"
legendos          "Legend of Success Joe / Ashita no Joe Densetsu"
legion            "Legion - Spinner-87 (World ver 2.03)"
legionj           "Chouji Meikyuu Legion (Japan ver 1.05)"
legionjb          "Chouji Meikyuu Legion (Japan ver 1.05, bootleg set 1)"
legionna          "Legionnaire (World)"
legionnaj         "Legionnaire (Japan)"
legionnau         "Legionnaire (US)"
legofair          "Koukuu Kihei Monogatari - The Legend of Air Cavalry (Japan)"
leland_80186_sound"80186 DAC (Leland)"
lemmings          "Lemmings (US prototype)"
lemnangl          "Mahjong Lemon Angel (Japan)"
leprechn          "Leprechaun"
leprechp          "Leprechaun (Pacific)"
lethalen          "Lethal Enforcers (ver UAE, 11/19/92 15:04)"
lethaleneaa       "Lethal Enforcers (ver EAA, 09/09/92 09:44)"
lethaleneab       "Lethal Enforcers (ver EAB, 10/14/92 19:53)"
lethaleneae       "Lethal Enforcers (ver EAE, 11/19/92 16:24)"
lethalenj         "Lethal Enforcers (ver JAD, 12/04/92 17:16)"
lethalenua        "Lethal Enforcers (ver UAA, 08/17/92 21:38)"
lethalenub        "Lethal Enforcers (ver UAB, 09/01/92 11:12)"
lethalenux        "Lethal Enforcers (ver unknown, US, 08/06/92 15:11, hacked/proto?)"
lethalj           "Lethal Justice (Version 2.3)"
lethalth          "Lethal Thunder (World)"
levers            "Levers"
lghost            "Laser Ghost (World) (FD1094 317-0166)"
lghostd           "Laser Ghost (World) (bootleg of FD1094 317-0166 set)"
lghostj           "Laser Ghost (Japan) (FD1094 317-0164)"
lghostu           "Laser Ghost (US) (FD1094 317-0165)"
lghostud          "Laser Ghost (US) (bootleg of FD1094 317-0165 set)"
lgtnfght          "Lightning Fighters (World)"
lgtnfghta         "Lightning Fighters (Asia)"
lgtnfghtu         "Lightning Fighters (US)"
lhaunt_10         "Lucky Haunter (090712 Entertainment)"
lhaunt_11         "Lucky Haunter (100331 Entertainment)"
lhaunt_2          "Lucky Haunter (030804 World)"
lhaunt_4          "Lucky Haunter (031111 World)"
lhaunt_4a         "Lucky Haunter (bootleg, 031111, backdoor)"
lhaunt_5          "Lucky Haunter (040216 World)"
lhaunt_5a         "Lucky Haunter (bootleg, 040216, backdoor)"
lhaunt_6          "Lucky Haunter (040825 World)"
lhaunt_6a         "Lucky Haunter (bootleg, 040825, backdoor)"
lhaunt_6b         "Lucky Haunter (bootleg, 040825, VIDEO GAME-1 PB01)"
lhaunt_6c         "Lucky Haunter (bootleg, 040825, changed version text)"
lhaunt_6d         "Lucky Haunter (bootleg, 040825, LOTTOGAME (I))"
lhaunt_6e         "Lucky Haunter (bootleg, 040825, LOTO PROGRAM V-LH2)"
lhaunt_6f         "Lucky Haunter (bootleg, 040825, LOTOS PB01)"
lhaunt_7          "Lucky Haunter (070402 Russia)"
lhaunt_8          "Lucky Haunter (070604 Russia)"
lhb               "Long Hu Bang (China, V035C)"
lhb2              "Long Hu Bang II (Hong Kong, V185H)"
lhbv33c           "Long Hu Bang (China, V033C)"
lhzb2a            "Mahjong Long Hu Zhengba 2 (VS221M)"
liberate          "Liberation"
liberateb         "Liberation (bootleg)"
liberatr          "Liberator (set 1)"
liberatr2         "Liberator (set 2)"
liblrabl          "Libble Rabble"
lifefrce          "Lifeforce (US)"
lifefrcej         "Lifeforce (Japan)"
lightbr           "Light Bringer (Ver 2.2O 1994/04/08)"
lightbrj          "Light Bringer (Ver 2.1J 1994/02/18)"
lindbios          "Sega Lindbergh Bios"
linearflash16mb   "Linear Flash PC Card (16MB)"
linearflash32mb   "Linear Flash PC Card (32MB)"
linearflash64mb   "Linear Flash PC Card (64MB)"
linkypip          "Linky Pipe"
liquidk           "Liquid Kids (World)"
liquidku          "Liquid Kids (US)"
lithero           "Little Hero"
littlerb          "Little Robin"
livegal           "Live Gal [BET] (Japan 870530)"
livequiz          "Live Quiz Show"
lizwiz            "Lizard Wizard"
lkage             "The Legend of Kage"
lkageb            "The Legend of Kage (bootleg set 1)"
lkageb2           "The Legend of Kage (bootleg set 2)"
lkageb3           "The Legend of Kage (bootleg set 3)"
lkageo            "The Legend of Kage (older)"
lkageoo           "The Legend of Kage (oldest)"
llander           "Lunar Lander (rev 2)"
llander1          "Lunar Lander (rev 1)"
llandert          "Lunar Lander (screen test)"
lluck3x3          "Lucky Lady (3x3 deal)"
lluck4x1          "Lucky Lady (4x1 aces)"
lnc               "Lock'n'Chase"
lockon            "Lock-On (rev. E)"
lockonc           "Lock-On (rev. C)"
lockonph          "Lock On (Philko)"
locoboot          "Loco-Motion (bootleg)"
locomotn          "Loco-Motion"
loderndf          "Lode Runner - The Dig Fight (ver. B)"
loderndfa         "Lode Runner - The Dig Fight (ver. A)"
loffire           "Line of Fire / Bakudan Yarou (World) (FD1094 317-0136)"
loffired          "Line of Fire / Bakudan Yarou (World) (bootleg of FD1094 317-0136 set)"
loffirej          "Line of Fire / Bakudan Yarou (Japan) (FD1094 317-0134)"
loffirejd         "Line of Fire / Bakudan Yarou (Japan) (bootleg of FD1094 317-0134 set)"
loffireu          "Line of Fire / Bakudan Yarou (US) (FD1094 317-0135)"
loffireud         "Line of Fire / Bakudan Yarou (US) (bootleg of FD1094 317-0135 set)"
logger            "Logger (Rev.3)"
logicpr2          "Logic Pro 2 (Japan)"
logicpro          "Logic Pro (Japan)"
loht              "Legend of Hero Tonma"
lohtb2            "Legend of Hero Tonma (Japan, bootleg with i8751)"
lohtj             "Legend of Hero Tonma (Japan)"
lomakai           "Legend of Makai (World)"
looper            "Looper"
looping           "Looping"
loopingv          "Looping (Venture Line license, set 1)"
loopingva         "Looping (Venture Line license, set 2)"
lordgun           "Lord of Gun (USA)"
lordofk           "The Lord of King (Japan)"
losttomb          "Lost Tomb (easy)"
losttombh         "Lost Tomb (hard)"
lostwrld          "Lost Worlds (Japan)"
lostwrldo         "Lost Worlds (Japan Old Ver.)"
lotlot            "Lot Lot"
lottof2           "Lotto Fun 2"
lottofun          "Lotto Fun"
lovehous          "Mahjong Love House [BET] (Japan 901024)"
loverboy          "Lover Boy"
lpadv             "Logic Pro Adventure (Japan)"
lpc_acpi          "LPC ACPI"
lpc_pit           "LPC PIT"
lpc_rtc           "LPC RTC"
lrescue           "Lunar Rescue"
lrescuem          "Lunar Rescue (Model Racing bootleg, set 1)"
lrescuem2         "Lunar Rescue (Model Racing bootleg, set 2)"
lresort           "Last Resort"
lresortp          "Last Resort (prototype)"
lsasquad          "Land Sea Air Squad / Riku Kai Kuu Saizensen"
lsi53c810         "LSI 53C810 SCSI"
ltswords          "Lightning Swords"
luckboom          "Lucky Boom"
luckboomh         "Lucky Boom (Hard Times hardware)"
lucky74           "Lucky 74 (bootleg, set 1)"
lucky74a          "Lucky 74 (bootleg, set 3)"
lucky8            "New Lucky 8 Lines (set 1, W-4)"
lucky8a           "New Lucky 8 Lines (set 2, W-4)"
lucky8b           "New Lucky 8 Lines (set 3, W-4, extended gfx)"
lucky8c           "New Lucky 8 Lines (set 4, W-4)"
lucky8d           "New Lucky 8 Lines (set 5, W-4, main 40%, d-up 60%)"
lucky8e           "New Lucky 8 Lines (set 6, W-4, main 40%, d-up 60%)"
luckyrlt          "Lucky Roulette Plus (6-players, Spanish)"
luckywld          "Lucky & Wild"
luckywldj         "Lucky & Wild (Japan)"
lunapark          "Luna Park (set 1, dual program)"
lunaparkb         "Luna Park (set 2, dual program)"
lunaparkc         "Luna Park (set 3)"
lunarba1          "Lunar Battle (prototype, earlier)"
lunarbat          "Lunar Battle (prototype, later)"
lupin3            "Lupin III (set 1)"
lupin3a           "Lupin III (set 2)"
luplup            "Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 3.0 / 990128)"
luplup29          "Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 2.9 / 990108)"
lvcards           "Lovely Cards"
lvgirl94          "Las Vegas Girl (Girl '94)"
lvpoker           "Lovely Poker [BET]"
lwings            "Legendary Wings (US set 1)"
lwings2           "Legendary Wings (US set 2)"
lwingsb           "Legendary Wings (bootleg)"
lwingsj           "Ares no Tsubasa (Japan)"
m1comm            "Model-1 Communication Board"
m21               "21 (Mirco)"
m3745x            "Mitsubishi M37450"
m37702s1          "Mitsubishi M37702S1"
m37710s4          "Mitsubishi M37710S4"
m3comm            "Model 3 Communication Board"
m4                "M-4"
m48t02            "M48T02 Timekeeper"
m48t08            "MK48T08 Timekeeper"
m48t35            "M48T35 Timekeeper"
m48t37            "M48T37 Timekeeper"
m48t58            "M48T58 Timekeeper"
m4conn4           "Connect 4"
m50458            "Mitsubishi M50458 OSD"
m58715            "M58715"
m58817            "M58817"
m58819s           "M68819S"
m6502             "MOS Technology M6502"
m6504             "MOS Technology M6504"
m65sc02           "Rockwell M65SC02"
m660              "Mission 660 (US)"
m660b             "Mission 660 (bootleg)"
m660j             "Mission 660 (Japan)"
m6800             "Motorola M6800"
m68000            "Motorola MC68000"
m6801             "Motorola M6801"
m68010            "Motorola MC68010"
m6802             "Motorola M6802"
m68020            "Motorola MC68020"
m6803             "Motorola M6803"
m68040            "Motorola MC68040"
m6808             "Motorola M6808"
m6809             "MC6809 (legacy)"
m6809e            "MC6809E (legacy)"
m68301            "Motorola MC68301"
m68705            "M68705"
m68ec020          "Motorola MC68EC020"
m68ec030          "Motorola MC68EC030"
m6m80011ap        "M6M80011AP EEPROM"
m72_audio         "Irem M72 Audio"
m79amb            "M-79 Ambush"
mace              "Mace: The Dark Age (boot ROM 1.0ce, HDD 1.0b)"
macea             "Mace: The Dark Age (HDD 1.0a)"
mach3             "M.A.C.H. 3 (set 1)"
mach3a            "M.A.C.H. 3 (set 2)"
mach3b            "M.A.C.H. 3 (set 3)"
macha             "Monoshiri Quiz Osyaberi Macha (Japan)"
machbrkr          "Mach Breakers (World, MB2)"
machomou          "Macho Mouse"
machridr          "Vs. Mach Rider (Endurance Course Version)"
machridra         "Vs. Mach Rider (Fighting Course Version, set MR4-1 A)"
macronix_29l001mc "Macronix 29L001MC Flash"
macross           "Super Spacefortress Macross / Chou-Jikuu Yousai Macross"
macross2          "Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II"
macross2g         "Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II (GAMEST review build)"
macrossp          "Macross Plus"
madalien          "Mad Alien (set 1)"
madaliena         "Mad Alien (set 2)"
madalienb         "Mad Alien (set 2, alt gfx)"
madball           "Mad Ball V2.0"
madballn          "Mad Ball V2.0 (With Nudity)"
madcrash          "Mad Crasher"
madcrush          "Mad Crusher (Japan)"
maddonna          "Mad Donna (set 1)"
madgear           "Mad Gear (US)"
madgearj          "Mad Gear (Japan)"
madmotor          "Mad Motor (prototype)"
madshark          "Mad Shark"
madzoo            "Mad Zoo (version U450C)"
magdrop           "Magical Drop (Japan, Version 1.1, 1995.06.21)"
magdrop2          "Magical Drop II"
magdrop3          "Magical Drop III"
magdropp          "Magical Drop Plus 1 (Japan, Version 2.1, 1995.09.12)"
magerror          "Magical Error wo Sagase"
magic10           "Magic's 10 (ver. 16.55)"
magic10a          "Magic's 10 (ver. 16.54)"
magic10b          "Magic's 10 (ver. 16.45)"
magic10c          "Magic's 10 (ver. 16.15)"
magicbal          "Magicball Fighting (Korea)"
magicbub          "Magic Bubble"
magicbuba         "Magic Bubble (Adult version, YS-1302 PCB)"
magicbubb         "Magic Bubble (Adult version, YS-0211 PCB)"
magicfly          "Magic Fly"
magicrd2          "Magic Card II (Bulgarian)"
magicrd2a         "Magic Card II (Nov, Yugoslavian)"
magicrd2b         "Magic Card II (green TAB or Impera board)"
magicrd2c         "Magic Card II (blue TAB board, encrypted)"
magicstk          "Magic Sticks"
magix             "Magix / Rock"
magixb            "Magix / Rock (no copyright message)"
magjoker          "Magic Joker (v1.25.10.2000)"
maglord           "Magician Lord (NGM-005)"
maglordh          "Magician Lord (NGH-005)"
magmax            "Mag Max"
magspeed          "Magical Speed"
magspot           "Magical Spot"
magspot2          "Magical Spot II"
magworm           "Magic Worm (bootleg of Centipede, set 1)"
mahjngoh          "Mahjong Oh (V2.06J 1999/11/23 08:52:22)"
mahmajn           "Tokoro San no MahMahjan (Japan, ROM Based)"
mahmajn2          "Tokoro San no MahMahjan 2 (Japan, ROM Based)"
mahoudai          "Mahou Daisakusen (Japan)"
mahretsu          "Mahjong Kyo Retsuden (NGM-004 ~ NGH-004)"
maiko             "Maikobana (Japan 900802)"
mainevt           "The Main Event (4 Players ver. Y)"
mainevt2p         "The Main Event (2 Players ver. X)"
mainevto          "The Main Event (4 Players ver. F)"
mainline          "Mainline Double Joker Poker"
mainsnk           "Main Event (1984)"
majest12j         "Majestic Twelve - The Space Invaders Part IV (Japan)"
majest12u         "Majestic Twelve - The Space Invaders Part IV (US)"
majorpkr          "Major Poker (set 1, v2.0)"
majs101b          "Mahjong Studio 101 [BET] (Japan)"
majtitl2          "Major Title 2 (World, set 1)"
majtitl2a         "Major Title 2 (World, set 1, alt sound CPU)"
majtitl2b         "Major Title 2 (World, set 2)"
majtitl2j         "Major Title 2 (Japan)"
majtitle          "Major Title (World)"
majtitlej         "Major Title (Japan)"
majuu             "Majuu no Ohkoku"
majxtal7          "Mahjong X-Tal 7 - Crystal Mahjong / Mahjong Diamond 7 (Japan)"
makaiden          "Makai Densetsu (Japan)"
makaijan          "Makaijan [BET] (Japan)"
makaimur          "Makai-Mura (Japan)"
makaimurc         "Makai-Mura (Japan Revision C)"
makaimurg         "Makai-Mura (Japan Revision G)"
maketrax          "Make Trax (US set 1)"
maketrxb          "Make Trax (US set 2)"
makyosen          "Makyou Senshi (Japan)"
maletmad          "Mallet Madness v2.1"
mangchi           "Mang-Chi"
manhatan          "Manhattan 24 Bunsyo (Japan)"
maniach           "Mania Challenge (set 1)"
maniach2          "Mania Challenge (set 2)"
maniacsp          "Maniac Square (prototype)"
maniacsq          "Maniac Square (protected, Version 1.0, Checksum DEEE)"
maniacsqa         "Maniac Square (protected, Version 1.0, Checksum CF2D)"
manybloc          "Many Block"
maple_dc          "Dreamcast Maple Bus"
mappy             "Mappy (US)"
mappyj            "Mappy (Japan)"
marble            "Marble Madness (set 1)"
marble2           "Marble Madness (set 2)"
marble3           "Marble Madness (set 3)"
marble4           "Marble Madness (set 4)"
marble5           "Marble Madness (set 5 - LSI Cartridge)"
marineb           "Marine Boy"
mariner           "Mariner"
mario             "Mario Bros. (US, Revision G)"
mariobl           "Mario Bros. (bootleg on Ambush Hardware, set 1)"
marioe            "Mario Bros. (US, Revision E)"
marioj            "Mario Bros. (Japan, Revision C)"
marioo            "Mario Bros. (US, Unknown Rev)"
markham           "Markham"
mars              "Mars"
martmast          "Martial Masters / Xing Yi Quan (ver. 104, 102, 102US)"
martmastc         "Martial Masters / Xing Yi Quan (ver. 104, 102, 101CN)"
martmastc102      "Martial Masters / Xing Yi Quan (ver. 102, 101, 101CN)"
maruchan          "Maru-Chan de Goo! (J 971216 V1.000)"
marukin           "Super Marukin-Ban (Japan 901017)"
marukodq          "Chibi Marukochan Deluxe Quiz"
marvins           "Marvin's Maze"
marvland          "Marvel Land (US)"
marvlandj         "Marvel Land (Japan)"
mas3507d          "MAS 3507D MPEG decoder"
masao             "Masao"
mastboy           "Master Boy (Spanish, PCB Rev A)"
mastboyi          "Master Boy (Italian, PCB Rev A, set 1)"
mastboyia         "Master Boy (Italian, PCB Rev A, set 2)"
masterw           "Master of Weapon (World)"
masterwj          "Master of Weapon (Japan)"
masterwu          "Master of Weapon (US)"
match98           "Match '98 (ver. 1.33)"
matchit           "Match It"
matchit2          "Match It II"
mathbox           "Atari MATHBOX"
matmania          "Mat Mania"
matrim            "Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660 ~ NGH-2660)"
matrimbl          "Matrimelee / Shin Gouketsuji Ichizoku Toukon (bootleg)"
mausuke           "Mausuke no Ojama the World (J 960314 V1.000)"
maverik           "Maverik"
maxaflex          "Max-A-Flex"
maxf_102          "Maximum Force v1.02"
maxf_ng           "Maximum Force (No Gore version)"
maxforce          "Maximum Force v1.05"
maxideal          "Maxi-Dealer"
maxrpm            "Max RPM (ver 2)"
maya              "Maya (set 1)"
mayaa             "Maya (set 2)"
mayab             "Maya (set 3)"
mayac             "Maya (set 4, clean)"
mayhem            "Mayhem 2002"
mayjin3           "Mayjinsen 3"
mayjisn2          "Mayjinsen 2"
mayumi            "Kiki-Ippatsu Mayumi-chan"
maze              "Amazing Maze"
mazeinv           "Maze Invaders (prototype)"
mazinger          "Mazinger Z (World)"
mazingerj         "Mazinger Z (Japan)"
mb_vcu            "Mazer Blazer custom VCU"
mb14241           "MB14241 Data Shifter"
mb3773            "MB3773 Power Supply Monitor"
mb60553           "MB60553 Zooming Tilemap"
mb8421            "MB8421 8-bit Dual-Port SRAM with Interrupts"
mb86233           "Fujitsu MB86233 (TGP)"
mb86235           "Fujitsu MB86235 'TGPx4'"
mb87078           "MB87078 Volume Controller"
mb8841            "Fujitsu MB8841"
mb8842            "Fujitsu MB8842"
mb8843            "Fujitsu MB8843"
mb8844            "Fujitsu MB8844"
mb8884            "MB8884"
mb89363b          "Fujitsu MB89363B I/O"
mb89371           "MB89371 Dual Serial UART"
mb90082           "Fujitsu MB90082 OSD"
mbomberj          "Muscle Bomber: The Body Explosion (Japan 930713)"
mbombrd           "Muscle Bomber Duo: Ultimate Team Battle (World 931206)"
mbombrdj          "Muscle Bomber Duo: Heat Up Warriors (Japan 931206)"
mbrush            "Magic Brush (bootleg of Crush Roller)"
mbutrfly          "Magical Butterfly (version U350C, protected)"
mc146818          "MC146818 RTC"
mc3417            "MC3417"
mc65c02           "M65C02"
mc68307           "MC68307"
mc68340           "MC68340"
mc6845            "Motorola MC6845 CRTC"
mc68681           "MC68681 DUART"
mc68681_channel   "MC68681 DUART channel"
mc68901           "Motorola MC68901 MFP"
mc68hc11          "Motorola MC68HC11"
mcatadv           "Magical Cat Adventure"
mcatadvj          "Magical Cat Adventure (Japan)"
mcd212            "MCD212 Video"
mcf5206e          "Freescale MCF5206E"
mcf5206e_peripheral"MCF5206E Peripheral"
mchampdx          "Multi Champ Deluxe (ver. 0106, 06/01/2000)"
mchampdxa         "Multi Champ Deluxe (ver. 1126, 26/11/1999)"
mchampdxb         "Multi Champ Deluxe (ver. 1114, 14/11/1999)"
mcheonru          "Ma Cheon Ru"
mcitylov          "City Love [BET] (Japan 860904)"
mcnpshnt          "Mahjong Campus Hunting (Japan)"
mcontest          "Miss Mahjong Contest (Japan)"
mdrawpkr          "Draw Poker - Joker's Wild (Standard)"
mdrawpkra         "Draw Poker - Joker's Wild (02-11)"
mechatt           "Mechanized Attack (World)"
mechattj          "Mechanized Attack (Japan)"
mechattu          "Mechanized Attack (US)"
mechattu1         "Mechanized Attack (US, Version 1, Single Player)"
mediagx           "Cyrix MediaGX"
medlanes          "Meadows Lanes"
megablst          "Mega Blast (World)"
megablstj         "Mega Blast (Japan)"
megablstu         "Mega Blast (US)"
megadon           "Megadon"
megadpkr          "Mega Double Poker (conversion kit, version 2.3 MD)"
megadpkrb         "Mega Double Poker (conversion kit, version 2.1 MD)"
megaforc          "Mega Force (World)"
megaman           "Mega Man: The Power Battle (CPS1, USA 951006)"
megaman2          "Mega Man 2: The Power Fighters (USA 960708)"
megaman2a         "Mega Man 2: The Power Fighters (Asia 960708)"
megaman2h         "Mega Man 2: The Power Fighters (Hispanic 960712)"
megamana          "Mega Man: The Power Battle (CPS1, Asia 951006)"
megamn2d          "Mega Man 2: The Power Fighters (USA 960708 Phoenix Edition) (bootleg)"
megaphx           "Mega Phoenix"
megat             "Pit Boss Megatouch (9234-20-01)"
megat2            "Pit Boss Megatouch II (9255-10-01 R0G, Standard version)"
megat2a           "Pit Boss Megatouch II (9255-10-01 R0E, Standard version)"
megat2b           "Pit Boss Megatouch II (9255-10-01 R0D, Standard version)"
megat2ca          "Pit Boss Megatouch II (9255-10-06 R0G, California version)"
megat2caa         "Pit Boss Megatouch II (9255-10-06 R0E, California version)"
megat2mn          "Pit Boss Megatouch II (9255-10-02 R0G, Minnesota version)"
megat3            "Megatouch III (9255-20-01 R0N, Standard version)"
megat3a           "Megatouch III (9255-20-01 R0K, Standard version)"
megat3b           "Megatouch III (9255-20-01 R0F, Standard version)"
megat3c           "Megatouch III (9255-20-01 R0B, Standard version)"
megat3ca          "Megatouch III (9255-20-06 R0N, California version)"
megat3caa         "Megatouch III (9255-20-06 R0D, California version)"
megat3d           "Megatouch III (9255-20-01 R0A, Standard version)"
megat3nj          "Megatouch III (9255-20-07 R0G, New Jersey version)"
megat3te          "Megatouch III Tournament Edition (9255-30-01 R0E, Standard version)"
megat4            "Megatouch IV (9255-40-01 R0E, Standard version)"
megat4a           "Megatouch IV (9255-40-01 R0D, Standard version)"
megat4b           "Megatouch IV (9255-40-01 R0B, Standard version)"
megat4c           "Megatouch IV (9255-40-01 R0A, Standard version)"
megat4d           "Megatouch IV (9255-40-01 R0, Standard version)"
megat4s           "Super Megatouch IV (9255-41-01 R0G, Standard version)"
megat4sa          "Super Megatouch IV (9255-41-01 R0E, Standard version)"
megat4sb          "Super Megatouch IV (9255-41-01 R0C, Standard version)"
megat4smn         "Super Megatouch IV (9255-41-02 R0C, Minnesota version)"
megat4snj         "Super Megatouch IV (9255-41-07 R0G, New Jersey version)"
megat4st          "Super Megatouch IV Tournament Edition (9255-51-01 R0B, Standard version)"
megat4stg         "Super Megatouch IV Turnier Version (9255-51-50 R0A, Bi-Lingual GER/ENG version)"
megat4te          "Megatouch IV Tournament Edition (9255-50-01 R0D, Standard version)"
megat4tea         "Megatouch IV Tournament Edition (9255-50-01 R0A, Standard version)"
megat5            "Megatouch 5 (9255-60-01 R0I, Standard version)"
megat5nj          "Megatouch 5 (9255-60-07 R0N, New Jersey version)"
megat5t           "Megatouch 5 Tournament Edition (9255-70-01 R0C, Standard version)"
megat5tg          "Megatouch 5 Turnier Version (9255-70-50 R0D, Bi-Lingual GER/ENG version)"
megat6            "Megatouch 6 (9255-80-01 R0A, Standard version)"
megatack          "Megatack (set 1)"
megatech          "Mega-Tech"
megazone          "Mega Zone (program code L)"
megazonea         "Mega Zone (unknown program code 1)"
megazoneb         "Mega Zone (unknown program code 2)"
megazonec         "Mega Zone (Kosuka set 2)"
megazonei         "Mega Zone (program code I)"
meijinsn          "Meijinsen"
meikyuh           "Meikyuu Hunter G (Japan, set 1)"
meikyuha          "Meikyuu Hunter G (Japan, set 2)"
meosism           "Meosis Magic (Japan)"
mercenario        "Mercenario (Commando bootleg)"
mercs             "Mercs (World 900302)"
mercsj            "Senjou no Ookami II (Japan 900302)"
mercsu            "Mercs (USA 900608)"
mercsur1          "Mercs (USA 900302)"
meritjp           "Merit Joker Poker (9131-09)"
merlinmm          "Merlins Money Maze"
mermaid           "Mermaid"
metafox           "Meta Fox"
metalb            "Metal Black (World)"
metalbj           "Metal Black (Japan)"
metamrph          "Metamorphic Force (ver EAA)"
metamrphj         "Metamorphic Force (ver JAA)"
metamrphu         "Metamorphic Force (ver UAA)"
meteor            "Meteoroids"
meteorho          "Meteor (bootleg of Asteroids)"
meteors           "Meteors"
meteorts          "Meteorites (VGG bootleg of Asteroids)"
meters            "Electromechanical meters"
metlclsh          "Metal Clash (Japan)"
metlfrzr          "Metal Freezer (Japan)"
metlhawk          "Metal Hawk (Rev C)"
metlhawkj         "Metal Hawk (Japan, Rev F)"
metlsavr          "Metal Saver"
metmqstr          "Metamoqester (International)"
metrocrs          "Metro-Cross (set 1)"
metrocrsa         "Metro-Cross (set 2)"
mexico86          "Mexico 86 (bootleg of Kick and Run) (set 1)"
mf_achas          "Astro Chase (Max-A-Flex)"
mf_bdash          "Boulder Dash (Max-A-Flex)"
